"id","abbreviation","fullform","type","publication_id"
"125","Amel-Marduk (aka AOATS 4)"," R. H. Sack, Amel-Marduk 562-560 B.C   a study based on cuneiform, Old Testament, Greek, Latin and Rabbinical sources (1972)  ",NULL,NULL
"126","Amherst (aka Pinches Amherst)"," Th. G. Pinches, The Amherst Tablets   ",NULL,NULL
"127","AMI"," Archäologische Mitteilungen aus Iran (Berlin 1929- 1938); Erg.-Bd. = Ergänzungsband (1929 ff.); NF = Neue Folge (1968 ff.); Erg.-Bd. (NF.) = Ergänzungsband (Neue Folge)   ",NULL,NULL
"128","AMI NF (aka AMI N.F.)"," Archäologische Mitteilungen aus Iran, Neue Folge (from 1968), Berlin   ",NULL,NULL
"129","Ammann-Festgabe"," Oberhuber, K. 1953   ",NULL,NULL
"130","Ammiditana 1"," (StOr 55.1, 45)   ",NULL,NULL
"131","Ammiditana 2"," (RIME 4  Ammiditana 2)  ",NULL,NULL
"132","Ammiditana lff."," royal inscr.;   ",NULL,NULL
"133","Ammiditana seals a-a'"," (RIME 4  Ammiditana 2001-2012)  ",NULL,NULL
"134","Ammisaduqa 1"," (RIME 4  Ammisaduqa 1)  ",NULL,NULL
"135","Ammisaduqa 2"," (StOr55.1,46;RIME4  Ammisaduqa 2001)  ",NULL,NULL
"136","Ammisaduqa lff."," royal inscr.;   ",NULL,NULL
"137","Ammisaduqa seals a-o"," (RIME 4  Ammisaduqa 2002-2016)  ",NULL,NULL
"138","Amorites"," Buccellati, G. 1966   ",NULL,NULL
"139","AMT"," R. C. Thompson, Assyrian Medical Texts (Oxford 1923)   ",NULL,NULL
"140","An=Anum"," lex. series an = anum   ",NULL,NULL
"141","Ana ittisu"," lex. series; MSL 1   ",NULL,NULL
"142","Anadolu (aka Anadolu, Anadolu Arast., Anadolu Arastirmalari)"," Anadolu, Revue annuelle des études d'archéologie et d'histoire en Turquie (Paris 1951 ff.)   ",NULL,NULL
"143","Anam 1"," (StOr 49, 190; RIME 4  Anam 4)  ",NULL,NULL
"144","Anam 2"," (StOr 49, 190; RIME 4  Anam 5)  ",NULL,NULL
"145","Anam 3"," (StOr 49, 191, RIME 4  Anam 1)  ",NULL,NULL
"146","Anam 4"," (StOr 49, 191, RIME 4  Anam 2)  ",NULL,NULL
"147","Anam 5"," (StOr 49, 192; RIME 4  Anam 3)  ",NULL,NULL
"148","Anam 6"," (StOr 49, 193)   ",NULL,NULL
"149","Anam Hymn"," lit. comp.; A. Falkenstein, BaM 2, 80ff.   ",NULL,NULL
"150","Anam seals a-b"," (StOr 49, 193; RIME 4  Anam 2001 - 2002)  ",NULL,NULL
"151","Anatolia"," Anatolia. Revue annuelle d'archéologie (until 1961/62), Journal of the Institute for Research in Near Eastern Civilizations and Languages (1963), Anadolu (since 1964, Ankara 1956 ff.)   ",NULL,NULL
"152","Anatolica"," Anatolica. Annuaire international pour les civilisations de l'Asie antérieure (Leiden 1967 ff.)   ",NULL,NULL
"153","AnBi (aka AnBibl, AnBiblica)"," Analecta Biblica (Rome 1952 ff.)   ",NULL,NULL
"154","AncAlph (aka Anc. Alph.)"," R. H. Pfeiffer, Ancient Alphabets (Cambridge, Mass., 1947)   ",NULL,NULL
"155","AncMesArt"," E. Porada, Ancient Mesopotamian Art and Selected Texts (Pierpont Morgan Library, 1976)   ",NULL,NULL
"156","ANEP"," J. B. Prichard, The Ancient Near East in Pictures (Princeton 1954)   ",NULL,NULL
"157","ANEP"," J. B. Prichard, The Ancient Near East in Pictures (Princeton 1954)   ",NULL,NULL
"158","ANES"," Ancient Near Eastern Studies (Centre for Classics and Archaeology, University of Melbourne, Peeters Press, Louvain, 2000ff.) Continues  Abr-Nahrain  ",NULL,NULL
"159","ANESS"," Ancient Near Eastern Studies Supplement Series (Centre for Classics and Archaeology, University of Melbourne, Peeters Press, Louvain, 2000ff.)   ",NULL,NULL
"160","ANET"," J. B. Prichard, Ancient Near Eastern Texts Relating to the Old Testament (Princeton 19501; 19552; 19693)   ",NULL,NULL
"161","Angim (aka Cooper Angim)"," lit. comp.; J.S. Cooper, The Return of Ninurta to Nippur (= AnOr 52)   ",NULL,NULL
"162","Angry Sea"," lit. comp.; O Angry Sea, R. Kutscher, YNER 6   ",NULL,NULL
"163","Animal Husbandry"," Marek Stepien, Animal Husbandry in the Ancient Near East  A Prosopographic Study of Third Millennium Umma (CDL Press 1996)  ",NULL,NULL
"164","anm."," footnote (Anmerkungen)   ",NULL,NULL
"165","Ann. Rost"," TigI. III.   ",NULL,NULL
"166","AnnNap"," Annali dell'Istituto Orientale di Napoli   ",NULL,NULL
"167","Annuaire"," Annuaire de École Pratique des Hautes Études, Section sciences historiques et philologiques (Paris).   ",NULL,NULL
"168","AnOr"," Analecta Orientalia (Rome 1931 ff.)   ",NULL,NULL
"169","Anp."," = Aššurnasirpal (from King, L.W., Annals of the Kings of Assyria. London 1905)  ",NULL,NULL
"170","AnSt"," Anatolian Studies (London 1951 ff.)   ",NULL,NULL
"171","Antagal"," lex. series an-ta-gal2 = šaqû; MSL 17, 131ff.   ",NULL,NULL
"172","Anthroponymie (aka l'anthroponymie)"," H. Limet, L'Anthroponymie sumerienne   ",NULL,NULL
"173","Anthropos"," Anthropos. Internationale Zeitschrift für Völker- und Sprachenkunde (Salzburg/Mödling/Posiéux/ Freibung, Switzerland, 1906 ff.)   ",NULL,NULL
"174","AO"," 1) Der Alte Orient (Leipzig 1900 ff.). 2) Museum siglum Louvre (Antiquités orientales)   ",NULL,NULL
"175","AOAT (aka AOATS)"," Alter Orient und Altes Testament (Kevelaer/Neukirchen-Vluyn 1969 ff.); S = Sonderreihe (1971 ff.)   ",NULL,NULL
"176","AOATT (aka ATT)"," K. Veenhof, Aspects of Old Assyrian Trade and its Terminology (= SD 10, 1972)   ",NULL,NULL
"177","AoB (aka AOB)"," Altorientalische Bibliothek, vol. I (Leipzig 1926)   ",NULL,NULL
"178","AoBel"," Acta Orientalia Belgica, Société Belge d'Études Orientales (Leuven)   ",NULL,NULL
"179","AOeAW (aka AÖAW, ÖAW, OeAW)"," Anzeiger den Österreichischen Akademie der Wissenschaften. Phil-hist. Klasse (Wien 1947 ff.)   ",NULL,NULL
"180","AoF"," Altorientalische Forschungen (Schriften zur Geschichte und Kultur des Alten Orients)(Berlin 1974 ff.)   ",NULL,NULL
"181","AoN (aka AltorNot/ Aor Not.)"," Altorientalistische Notizen (Würzburg 1976ff.)   ",NULL,NULL
"182","AOS"," American Oriental Series (New Haven 1925 ff.)   ",NULL,NULL
"183","AOTb"," museum sigla, Louvre (Antiquités Orientales, Tello)   ",NULL,NULL
"184","AOTc"," museum sigla, Louvre (Antiquités Orientales, Tello)   ",NULL,NULL
"185","ap (aka ap.)"," Old Persian (altpersisch)   ",NULL,NULL
"186","APA"," Acta praehistorica et archaeologica (Berlin 1970 ff.)   ",NULL,NULL
"187","APAW (aka AbhBerlin)"," Abhandlungen der (Königl.) Preußischen Akademie der Wissenschaften. Phil-hist. Klasse (Berlin 1908 -1944)   ",NULL,NULL
"188","ApI"," Ernst Herzfeld, Altpersische Inschriften (AMI Erg. Bd. 1, Berlin 1938)   ",NULL,NULL
"189","APN"," K. Tallqvist, Assyrian Personal Names (= ASSF 43/1, 1914)   ",NULL,NULL
"190","App."," appendix   ",NULL,NULL
"191","AR"," Kohler, J. and A. Ungnad. Assyrische Rechtsurkunden (Leipzig)   ",NULL,NULL
"192","ARAB"," D. D. Luckenbill, Ancient Records of Assyria and Babylonia (Chicago 1926/27)   ",NULL,NULL
"193","Arab."," Arabic   ",NULL,NULL
