"id","abbreviation","fullform","type","publication_id"
"992","Kultische Kalender (aka B. Landsberger, Kalender) "," B. Landsberger, Der Kultische Kalender der Babylonier und Assyrer (= LSS 6/1-2)   ",NULL,NULL
"993","Kuninurta to a King "," letter; ms. Univ. Museum   ",NULL,NULL
"994","Kunstmann Gebetsbeschwörung "," W. Kunstmann, Die babylonische Gebetsbeschwörung (= LSS NF 2)   ",NULL,NULL
"995","Kurigalzu Inscription "," royal inscr.; Sumer 4, lff.; rev. ms. M.W. Green   ",NULL,NULL
"996","Kusu Hymn "," lit. comp.; P. Michalowski, Studies Hallo 152ff.   ",NULL,NULL
"997","KWU "," N. Schneider, Die Keilschriftzeichen der Wirtschaftsurkunden von Ur III nebst ihren charakteristischen Schreibvarianten (Rom 1935)   ",NULL,NULL
"998","Kyoto (aka Nakahara, Nakahara Kyoto) "," Y. Nakahara, The Sumerian Tablets in the Imperial Library of Kyoto (Tokyo 1928)   ",NULL,NULL
"999","Kyros-Zylinder "," Kyros-Zylinder (edited by P.-R. Berger, ZA 64, 1975, pp. 192-234)   ",NULL,NULL
"1000","L "," Tablet siglum of texts in the Archeological Museum in Istanbul (Lagash/Girsu)   ",NULL,NULL
"1001","l.e. "," left edge   ",NULL,NULL
"1002","L'uomo "," G. Pettinato, L'uomo cominci&#242; a scrivere. Iscrizioni cuneiformi della Collezione Michail (Milano 1997)   ",NULL,NULL
"1003","La province (aka Prov. mér.) "," J.-P. Grégoire, La province meridionale de l'état de Lagash   ",NULL,NULL
"1004","LAK "," A. Deimel, Liste der archaischen Keilschriftzeichen (= WVDOG 40, 1922)   ",NULL,NULL
"1005","Lamentation over Sumer and Ur "," lit. comp.; P. Michalowski, The Lamentation over the Destruction of Sumer and Ur (= MC 1)   ",NULL,NULL
"1006","Lamentation over Ur "," lit. comp.; S.N. Kramer, AS 12; rev. ms. H. Vanstiphout   ",NULL,NULL
"1007","Lamentations "," M.E. Cohen, The Canonical Lamentations of Ancient Mesopotamia   ",NULL,NULL
"1008","Landfahrzeuge (aka A. Salonen, Landfahrzeuge) "," A. Salonen, Die Landfahrzeuge des alten Mesopotamien (Helsinki 1951), (=AASF B 72/III)   ",NULL,NULL
"1009","Language of Ebla "," Studies on the Language of Ebla, ed. P. Fronzaroli, Quaderni di Semitistica 13   ",NULL,NULL
"1010","LAOS "," Leipziger Altorientalische Studien (from 2011)   ",NULL,NULL
"1011","LAPO "," Littératures anciennes du Proche-Orient   ",NULL,NULL
"1012","LAS "," S. Parpola, Letters from Assyrian Scholars to the Kings Esarhaddon and Assurbanipal, I (= AGAT 5/1, 1970); II (= AGAT 5/2, 1983)   ",NULL,NULL
"1013","Law Collections "," M. Roth, Law Collections from Mesopotamia and Asia Minor   ",NULL,NULL
"1014","Laws of Lipiteshtar "," lit. comp.; Roth Law Collections 23ff.   ",NULL,NULL
"1015","Laws of Urnammu "," lit. comp.; Roth Law Collections 13ff.   ",NULL,NULL
"1016","LB "," tablets in the de Liagre Bohl Collection (Leiden)   ",NULL,NULL
"1017","LBAT "," A. Sachs/T. Pinches/ J. Strassmaier, Late Babylonian Astronomical and Related Texts (London 1955)   ",NULL,NULL
"1018","LE "," C. Wilcke, Das Lugalbandaepos (Wiesbaden 1969)   ",NULL,NULL
"1019","Leather "," V.E. Crawford, Terminology of the Leather Industry in Late Sumerian Times (diss., Yale Univ.)   ",NULL,NULL
"1020","Lenormant Choix "," F. Lenormant, Choix de textes cunéiformes (1873-1875)   ",NULL,NULL
"1021","Letter from PN to a King(?) "," letter; ISET 2, 117 Ni.4164 rev.   ",NULL,NULL
"1022","Letter from PN to Enlilbani "," letter; ISET 2, 119 Ni.4326+ 9ff.   ",NULL,NULL
"1023","Letter from PN to Nanna "," letter-prayer; A. Falkenstem, AnBibl 12, 69ff.; A. Sjöberg Mondgott 104ff.   ",NULL,NULL
"1024","Letter from PN to Nininsina "," letter-prayer, SEM 74   ",NULL,NULL
"1025","Letter to Ninshubur "," letter-prayer; C.B.F. Walker and S.N. Kramer, Iraq 44, 78ff.   ",NULL,NULL
"1026","Letter to Zimrilim "," letter; D. Charpin, Rencontre 35, 7ff.   ",NULL,NULL
"1027","Letters (aka LEM) "," P. Michalowski, Letters from Early Mesopotamia, by Piotr Michalowski, edited by Erica Reiner (Writings from the Ancient World, vol. 3, Atlanta, Ga.  Scholars Press, 1993)  ",NULL,NULL
"1028","Levant "," Levant. Journal of the British School of Archaeology in Jerusalem (London 1969 ff.)   ",NULL,NULL
"1029","lex. "," lexical (texts)   ",NULL,NULL
"1030","LexAe (aka LexAe., LexÄ) "," Lexikon der Ägyptologie (Wiesbaden 1975-92)   ",NULL,NULL
"1031","Lexical "," lexical reference(s)   ",NULL,NULL
"1032","LFBD "," T. Fish, Letters of the First Babylonian Dynasty   ",NULL,NULL
"1033","LIH "," L. King, The Letters and Inscriptions of Hammurabi (London 1889-1900)   ",NULL,NULL
"1034","LIMC "," Lexicon iconographicum mythologicae classicae (Zurich 1981 ff.)   ",NULL,NULL
"1035","Lingua di Ebla "," La Lingua di Ebla, ed. L. Cagni   ",NULL,NULL
"1036","Lipiteshtar 01 "," (StOr 49, 15f.; RIME 4  Lipiteshtar 1)  ",NULL,NULL
"1037","Lipiteshtar 02 "," (8tOr 49, 16; RIME 4  Lipiteshtar 4)  ",NULL,NULL
"1038","Lipiteshtar 03 "," (StOr 49, 17; RIME 4  Lipiteshtar 5)  ",NULL,NULL
"1039","Lipiteshtar 04 "," (StOr 49, 18, RIME 4  Lipiteshtar 6)  ",NULL,NULL
"1040","Lipiteshtar 06 "," (StOr 49, 20, RIME 4  not included)  ",NULL,NULL
"1041","Lipiteshtar 07 "," (StOr 49, 21f.; RIME 4  Lipiteshtar 8)  ",NULL,NULL
"1042","Lipiteshtar 11 "," (RIME 4, 48f.  Lipiteshtar 2)  ",NULL,NULL
"1043","Lipiteshtar 12 "," (RIME 4, 59f.  Lipiteshtar 7)  ",NULL,NULL
"1044","Lipiteshtar 1ff. "," royal inscr.   ",NULL,NULL
"1045","Lipiteshtar A "," lit. comp.; Römer SKIZ 29ff.; rev. ms. Univ. Museum   ",NULL,NULL
"1046","Lipiteshtar and the Plow "," lit. comp.; ms. M. Civil   ",NULL,NULL
"1047","Lipiteshtar B "," lit. comp.; H. Vanstiphout, JCS 30 33ff   ",NULL,NULL
"1048","Lipiteshtar C "," lit. comp.; Römer SKIZ 10ff.   ",NULL,NULL
"1049","Lipiteshtar D "," lit. comp.; Römer SKIZ 6ff.   ",NULL,NULL
"1050","Lipiteshtar seal a "," (StOr 49, 22  Lipiteshtar 8; RIME 4  Lipiteshtar 2001) ",NULL,NULL
"1051","Lipiteshtar seal b "," (8tOr 49, 22  Lipiteshtar 9; RIME 4  Lipiteshtar 2002) ",NULL,NULL
"1052","Lipiteshtar seal c "," (StOr 49, 23  Lipiteshtar 10; RIME 4  Lipiteshtar 2003) ",NULL,NULL
"1053","Lipiteshtar seal d "," (RIME 4  Lipiteshtar 2004)  ",NULL,NULL
"1054","Lipiteshtar to Nannakiag "," letter; Ali Letters 76ff. B 5  ",NULL,NULL
"1055","Lisin's Lament "," lit. comp.; CBS 8508 (STVC 121) and dupl.   ",NULL,NULL
"1056","lit. "," literary (texts)   ",NULL,NULL
"1057","LKA "," L. Ebeling, Literarische Keilschrifttexte aus Assur (Berlin 1953)   ",NULL,NULL
"1058","LKU "," A. Falkenstein, Literarische Keilschrifttexte aus Uruk (Berlin 1931)   ",NULL,NULL
"1059","LoC "," Library of Congress   ",NULL,NULL
"1060","loc. "," locative   ",NULL,NULL
"1061","loc.-term. "," locative-terminative   ",NULL,NULL
"1062","Love Songs "," Y. Sefati, Love Songs in Sumerian literature (diss., Bar- Ilan Univ.)   ",NULL,NULL
"1063","LSS "," Leipziger Semitistische Studien (Leipzig 1903- 1920); NF = Neue Folge (1931-1932)   ",NULL,NULL
"1064","LSU "," P. Michalowski, The Lamentation over the Destruction of Sumer and Ur (= MC 1)   ",NULL,NULL
"1065","LTBA "," Die lexikalischen Tafelserien der Babylonier und Assyrer, Bd. I  L. Matous; Bd. II  W. von Soden (Berlin 1933) ",NULL,NULL
"1066","Lu "," lex. series lu2 = sha; MSL 12, 87ff.   ",NULL,NULL
"1067","Lu'utu lff. "," royal inscr.; Steible NBW 2, 343f.   ",NULL,NULL
"1068","Luckenbill Adab "," D. Luckenbill, Inscriptions from Adab (= 0IP 14)   ",NULL,NULL
"1069","Lugal-TAR-si of Kish "," royal inscr.; Steible ABW 2, 218f.   ",NULL,NULL
"1070","Lugalannemundu Inscr. "," royal inscr.; H. Guterbock, ZA 42, 40ff.; new ms. P. Michalowski   ",NULL,NULL
"1071","Lugalbanda Epic I "," lit. comp.; ms. S. Cohen, rev. by Å.W. Sjöberg; W.W. Hallo, JAOS 103, 165ff.   ",NULL,NULL
"1072","Lugalbanda Epic II "," lit. comp.; C. Wilcke, Das Lugalbandacpos; R. Falkowitz, JAOS 103, 103ff.; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1073","Lugalbandaepos "," C. Wilcke, Das Lugalbandaepos, 1969   ",NULL,NULL
"1074","Lugale (aka van Dijk Lugale) "," lit. comp.; J. van Dijk, Lugal ud me-lam-BI; Sippar Version = F.N.H. Al-Rawi, Iraq 57 (1995)  199-223  ",NULL,NULL
"1075","Lugalibila to Giriniisag "," letter; ms. Univ. Museum   ",NULL,NULL
"1076","Lugaliblla to Lugalnisag "," letter; J. Nougayrol, Ugaritica 5, 23ff.; rev. ms. M. Civil   ",NULL,NULL
"1077","Lugalkigmnedudu lff. "," royal inscr.; Steible ABW 2, 298ff.   ",NULL,NULL
"1078","Lugalkisalsi lff. "," royal inscr.; Steible ABW 2,   ",NULL,NULL
"1079","Lugalnisag to a King 1 "," letter; Ali Letters 85ff. B 7  ",NULL,NULL
"1080","Lugalnisag to a King 2 "," letter; Ali Letters 92ff. B 8  ",NULL,NULL
"1081","Lugalnisag to Enlilmassu "," letter; Ali Letters 130ff. B 16  ",NULL,NULL
"1082","Lugalzagesi lff. "," royal inscr.; Steible ABW 2, 310ff.   ",NULL,NULL
"1083","Lullaby "," lit. comp.; S.N. Kramer, Studi in onore di Edoardo Volterra 6, 191ff, and dupls.; rev. ms. A. Cavlgneaux   ",NULL,NULL
"1084","Luninurta to Inamlaandulduga "," letter; M.E. Cohen, WO 9, I0ff.   ",NULL,NULL
"1085","Lushaga "," royal inscr.; Steible NBW 2,   ",NULL,NULL
"1086","MA "," Middle Assyrian   ",NULL,NULL
"1087","MAD "," I.J. Gelb, Materials for the Assyrian Dictionary (Chicago 1952- 1970)   ",NULL,NULL
"1088","mag. "," Magical   ",NULL,NULL
"1089","MAG "," Mittelassyrische Gesetze   ",NULL,NULL
"1090","MAH "," Museum siglum of the Musée d'Art et d'Histoire, Geneva   ",NULL,NULL
"1091","Malku "," Akk. lex. series malku = sharru   ",NULL,NULL
"1092","MAM "," A. Parrot, Mission archéologique de Mari, I (= BAH 65, 1956); II (= BAH 68- 70, 1958/59); III (= BAH 86, 1967)   ",NULL,NULL
"1093","Man and his God "," lit. comp., S.N. Kramer, VT Suppl. 3; rev. ms. J. Klein   ",NULL,NULL
"1094","Manchester Memoirs "," Memoirs and Proceedings of the Manchester Literary and Philosophical Society   ",NULL,NULL
"1095","Manchester Tammuz "," lit. comp.; B. Alster, Acta Sum 14, lff.   ",NULL,NULL
"1096","Mantique "," A. Boissier, Mantique Babylonienne et Mantique Hittite (Paris 1935)   ",NULL,NULL
"1097","Manuel2 "," Ch. Fossey, Manuel d'assyriologie, Bd. II  Évolution des cunéiformes (Paris 1926)  ",NULL,NULL
"1098","MAO "," G. Contenau, Manuel d'Archéologie Orientale (Paris 1927-47)   ",NULL,NULL
"1099","MAOG "," Mitteilungen der Altorientalischen Gesellschaft   ",NULL,NULL
"1100","Maqlu "," Knut L. Tallqvist, Die assyrische Beschwörungsserie Maqlu (1894)   ",NULL,NULL
"1101","MARI "," Mari, Annales de Recherches Interdisciplinaires (Paris 1982 ff.)   ",NULL,NULL
"1102","Marriage of Mardu "," lit. comp.; SEM 58; J. Klein, Sumerian Gods 110-116   ",NULL,NULL
"1103","masc. "," Masculine   ",NULL,NULL
"1104","math. "," mathematical (texts)   ",NULL,NULL
"1105","MatKul "," Izvestija Rossijskoj Akademii Istorii Material'noj Kul'tury   ",NULL,NULL
"1106","Maul Ershahunga "," S.M. Maul, 'Herzberuhigungsklagen'  Die sumerisch-akkadischen Ershahunga-Gebete  ",NULL,NULL
"1107","Mayr 1997 "," R. Mayr, The Seal Impressions of Ur III Umma, Disseratation, 1997   ",NULL,NULL
"1108","MB "," Middle Babylonian   ",NULL,NULL
"1109","MBGT (aka MGBT) "," lex. series; Middle Babylonian Grammatical Texts, MSL SS 1, 72-91   ",NULL,NULL
"1110","MBI (aka Barton MBI) "," G.A. Barton, Miscellaneous Babylonian Inscriptions, I (New Haven 1918)   ",NULL,NULL
"1111","MBLETU "," O. R. Gurney, The Middle Babylonian Legal and Economic Texts from Ur (British School of Archaeology in Iraq, 1983)   ",NULL,NULL
"1112","MC "," Mesopotamian Civilizations (Winona Lake, Indiana)   ",NULL,NULL
"1113","MC 3 (aka Adoption in Nippur) "," E.C. Stone and D.I. Owen, Adoption in Old Babylonian Nippur and the Archive of Mannum-mesu-lissur (= MC 3)   ",NULL,NULL
"1114","MC 4 (aka LAT, Legal and Administrative Texts) "," P. Steinkeller, with hand copies by J. N. Postgate, Third-Millennium Legal and Administrative Texts in the Iraq Museum, Baghdad (= MC 4)   ",NULL,NULL
"1115","MCAAS "," Memoirs of the Connecticut Academy of Arts and Sciences   ",NULL,NULL
"1116","MCS "," Manchester Cuneiform Studies (Manchester 1951 ff.)   ",NULL,NULL
"1117","MCT "," O. Neugebauer and A. Sachs, Mathematical Cuneiform Texts (= AOS 29)   ",NULL,NULL
"1118","MD "," tablets in the collections of the Missionmuseum der Franziskaner zu Dorsten in Westfalen   ",NULL,NULL
"1119","MDAI (aka MDAIK, DAI) "," Mitteilungen des Deutschen Archäologischen Instituts, Abt. Kairo (Mainz 1956 ff.)   ",NULL,NULL
"1120","MDI "," Memoires de la Delegation Archeologique en Iran   ",NULL,NULL
"1121","MDOG "," Mitteilungen der Deutschen Orient-gesellschaft zu Berlin (Berlin 1898 ff.)   ",NULL,NULL
"1122","MDP "," Mémoires de la Délégation en Perse (Paris 1900 ff.); Bd.29, 1943 ff. also cited as MDAI = Mémoires de la Délégation Archéologique en Iran   ",NULL,NULL
"1123","MEA "," R. Labat, Manuel d'épigraphie akkadienne (6th ed. Paris 1988)   ",NULL,NULL
"1124","med. "," Medical   ",NULL,NULL
"1125","MEE "," Materiali epigrafici di Ebla (Naples 1979 ff.)   ",NULL,NULL
"1126","Meier Maqlu "," G. Meier, Die assyrische Beschwörungssammlung Maqlû, Berlin 1937   ",NULL,NULL
"1127","Meissner Supplement "," B. Meissner, Supplement zu den assyrischen Wörterbüchern, Leiden 1898   ",NULL,NULL
"1128","Melanges Birot "," Miscellanea Babylonica  Melanges offerts a Maurice Birot  ",NULL,NULL
"1129","Melanges Kupper "," De la Babylonie a la Syrie, en passant par Mari  Melanges offerts a Monsieur J.-R. Kupper a l'occasion de son 70e anniversaire  ",NULL,NULL
"1130","Melanges Limet "," Tablettes et images aux pays de Sumer et d'Akkad  Melanges offerts a Monsieur H. Limet, Association pour la Promotion de l'Histoire et de l'Archeologie Orientales Memoires no. 1  ",NULL,NULL
"1131","Mem. Finkelstein "," Essays on the Ancient Near East in Memory of J.J. Finkelstein (= MCAAS 19)   ",NULL,NULL
"1132","Menologies "," S. Langdon, Babylonian Menologies and the Semitic Calendars   ",NULL,NULL
"1133","Menschenbild "," G. Pettinato, Das altorientalische Menschenbild und die sumerischen und akkadischen Schöpfungsmythen   ",NULL,NULL
"1134","Mes (aka Mesop., Mesopotamia) "," Mesopotamia. Rivista di Archeologia . . . (Turin 1966 ff.)   ",NULL,NULL
"1135","Mesag "," S.J. Bridges, The Mesag archive  A study of Sargonic society and economy (diss., Yale Univ., 1981)  ",NULL,NULL
"1136","Mesannepada "," royal inscr.; Steible ABW 2, 272f.   ",NULL,NULL
"1137","Mesilim of Kish "," royal inscr.; Steible ABW 2, 215ff.   ",NULL,NULL
"1138","Mesop. Law "," M. Roth, Scholastic Tradition and Mesopotamian Law (diss., Univ. of Pennsylvania)   ",NULL,NULL
"1139","Mesopotamia (aka Mes.) "," Mesopotamia. Copenhagen Studies in Assyriology (Copenhagen 1972 ff.)   ",NULL,NULL
"1140","Mesopotamia "," Revista di archeologia a cure del Centro Ricerche Archeologiche e Scavi di Turno per il Medio Oriente e l'Asia, University of Turin (Turin)   ",NULL,NULL
"1141","Mesopotamien "," E. Strommenger, Fünf Jahrtausende Mesopotamien, Aufnahmen von M. Hirmer (Munich 1962)   ",NULL,NULL
"1142","Message of Ludingirra "," llt. comp.; M. Clvll, JNES 23, lff.; M. Cig and S.N. Kramer, Belleten 40, 403ff.; ms. Å.W. Sjöberg   ",NULL,NULL
"1143","Message of Ludingirra Ras Shamra "," J. Nougayrol, Ugaritica 5,310ff.; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1144","MesZL "," see MZL   ",NULL,NULL
"1145","Metal (aka Limet Métal, Travail du métal) "," H. Limet, Le travail du metal au pays de Sumer au temps de la IIIe dynastie d'Ur (Brussels 1976)   ",NULL,NULL
"1146","MFA "," Museum siglum of the Museum of Fine Arts, Boston   ",NULL,NULL
"1147","MHET "," Mesopotamian History and Environment  Texts  ",NULL,NULL
"1148","mill. "," Millennium   ",NULL,NULL
"1149","MIO "," Mitteilungen des Instituts für Orientforschung (Berlin 1953 ff.)   ",NULL,NULL
"1150","Mis pi "," ritual series; ms. C.B.F. Walker   ",NULL,NULL
"1151","Misc. Assyrian Texts "," S.A. Smith, Miscellaneous Assyrian Texts of the British Museum   ",NULL,NULL
"1152","MiscEbl "," Miscellanea Eblaitica (= QuadSem 15 ff., 1988 ff.)   ",NULL,NULL
"1153","MJ (aka Museum Journal) "," Museum Journal (Univ. Museum, Univ. of Pennsylvania)   ",NULL,NULL
"1154","MKT "," O. Neugebauer, Mathematische Keilschrifttexte (Berlin 1936/37)   ",NULL,NULL
"1155","MLC "," Morgan Library Collection, siglum of the Yale Babylonian Collection, New Haven   ",NULL,NULL
"1156","MLVS "," Mededeelingen uit de Leidsche Verzameling van Spijkerschrift-Inscripties (Amsterdam 1933-36)   ",NULL,NULL
"1157","MM "," tablets in the collections of the Abbey of Montserrat (Barcelona)   ",NULL,NULL
"1158","MMA Guide "," Crawford, Vaughn Emerson, et al., Ancient Near Eastern Art  Guide To the Collections (New York  Metropolitan Museum of Art, 1966) ",NULL,NULL
"1159","MMB "," Bulletin of the Museum of Mediterranean and Near Eastern Antiquities / Medelhavsmuseet Bulletin (Stockholm 1961-1998)   ",NULL,NULL
"1160","MMEW (aka Mystical) "," A. Livingstone, Mystical and Mythological Explanatory Works of Assyrian and Babylonian Scholars (Oxford, 1986)   ",NULL,NULL
"1161","MMFM "," Medelhavsmuseet. Focus on the Mediterranean (Stockholm 2004-)   ",NULL,NULL
"1162","MN "," month name   ",NULL,NULL
"1163","mng. "," meaning   ",NULL,NULL
"1164","Möbel (aka A. Salonen, Möbel) "," A. Salonen, Die Möbel des alten Mesopotamien nach sumerisch-akkadischen Quellen (Helsinki 1963), (= AASF B 127)   ",NULL,NULL
"1165","Model Contracts "," W. R. Bodine, How Mesopotamian scribes learned to write legal documents  A study of Sumerian Model Contracts, 2014  ",NULL,NULL
"1166","Mondgott (aka MNS) "," A. Sjöberg, Der Mondgott Nanna-Suen   ",NULL,NULL
"1167","Monkey "," letter; M. Powell, ZA 68, 168ff.   ",NULL,NULL
"1168","MonOT (aka Monuments) "," I. M. Price et al, The Monuments and the Old Testament (Philadelphia 1958)   ",NULL,NULL
"1169","Moon-God "," M. Hall, A Study of the Sumerian Moon-God, Nanna/Suen (diss., Univ. of Pennsylvania)   ",NULL,NULL
"1170","MP "," Monuments et memoires publies par l'Academie des Inscriptions et des Belles-Lettres (Fondation Eugene Piot)   ",NULL,NULL
"1171","MRWH "," H.P.H. Petschow, Mittelbabylonische Rechts- und Wirtschaftsurkunden der Hilprechtsammlung in Jena (Berlin 1974)   ",NULL,NULL
"1172","ms(s). "," manuscript(s)   ",NULL,NULL
"1173","Msk. "," Tablet siglum of texts from Meskene   ",NULL,NULL
"1174","MSKH (aka Brinkman MSKH) "," J. A. Brinkman, Materials and Studies for Kassite History (Chicago 1976)   ",NULL,NULL
"1175","MSL "," Materialien zum sumerischen Lexikon/Materials for the Sumerian Lexicon (Rom 1937 ff.); SS = Supplementary Series (1, 1986)   ",NULL,NULL
"1176","MSLF "," S. Lieberman, Manual of Sumerian Legal Forms (unpubl. ms.)   ",NULL,NULL
"1177","MSS "," Münchener Studien zur Sprachwissenschaft (Munich 1952 ff.)   ",NULL,NULL
"1178","MSVO "," Materialien zu den frühen Schriftzeugnissen des Vorderen Orients (Berlin 1991 ff.)   ",NULL,NULL
"1179","MtHolyAQ "," Mary Inda Hussey (1918) Babylonian Tablets from Mount Holyoke College. Concord, N.H.   ",NULL,NULL
"1180","MUL.APIN "," MUL.APIN  An Astronomical Compendium in Cuneiform. Hermann Hunger and David Pingree. AfO Beih. 24 (Horn, Austria, 1989)  ",NULL,NULL
"1181","Museum Monograph (aka UnivMusMonograph, UniversMusMonograph, University Museum Monograph) "," Monograph of the Univ. Museum, Univ. of Pennsylvania   ",NULL,NULL
"1182","Musik "," H. Hartmann, Die Musik der sumerischen Kultur (Frankfurt 1960)   ",NULL,NULL
"1183","MUSJ "," Mélanges (de la Faculté Orientale) de l'Université Saint-Joseph (Beiruth 1906 ff.)   ",NULL,NULL
"1184","MVAG (aka MVAeG) "," Mitteilungen der Vorderasiatischen (ab 1922  Vorderasiatisch-Agyptischen) Gesellschaft (Berlin/Leipzig 1896 ff.)  ",NULL,NULL
"1185","MVN "," Materiali per il vocabulario neosumerico (Rom 1974 ff.)   ",NULL,NULL
"1186","MVS "," Münchener vorderasiatische Studien (Munich/ Vienna 1977 ff.)   ",NULL,NULL
"1187","MW "," tablets in the Missionshaus Werl in Westfalen   ",NULL,NULL
"1188","Mycenaean "," Alexander Uchitel, Mycenaean and Near Eastern economic archives, 1985   ",NULL,NULL
"1189","MZL "," R. Borger, Mesopotamisches Zeichenlexikon (AOAT 305; Ugarit-Verlag 2003)   ",NULL,NULL
"1190","N "," Museum siglum of the University Museum, Philadelphia (Nippur)   ",NULL,NULL
"1191","N-T "," field numbers of tablets excavated at Nippur (In Chicago and Baghdad)   ",NULL,NULL
"1192","NA "," Neo-Assyrian   ",NULL,NULL
"1193","Nabienlil to a King "," letter; ms. Å.W. Sjöberg   ",NULL,NULL
"1194","Nabienlil to his Colleagues "," letter; ISET 2, 121 Ni.4491   ",NULL,NULL
"1195","Nabienlil to Sillieshtar "," letter; ISET 1, 126 Ni.972 and dupls. VAS 17, 44 ii 28'-iii 1 and UM 29-13-520; ms. M. Civil   ",NULL,NULL
"1196","NABU "," Nouvelles Assyriologiques Brèves et Utilitaires (Paris 1987 ff.); cf. Mémoires de NABU (1992 ff.), Cahiers de NABU (1990 ff.)   ",NULL,NULL
"1197","NALK "," Th. Kwasman, Neo-Assyrian Legal Documents in the Kouyunjik Collection of the British Museum (= StPohl SM 14, 1988)   ",NULL,NULL
"1198","Nammahm of Lagas lff. "," roval mscr., Stelble NBW 1, 374ff.   ",NULL,NULL
"1199","Nanna's Journey to Nippur "," lit. comp.; A.J. Ferrara, Studia Pohl SM 2   ",NULL,NULL
"1200","Nanna-Suen "," lit. comp.; A. Sjöberg, Der Mondgott Nanna-Suen …, I (Stockholm 1960)   ",NULL,NULL
"1201","Nannakiag to Lipiteshtar "," letter; Ali Letters 71ff. B 4  ",NULL,NULL
"1202","Nannamansum to Nininsina "," letter-prayer; TCL 16, 60 and dupl.   ",NULL,NULL
"1203","Nannamansum to Rimsin "," letter; OECT 5, 31   ",NULL,NULL
"1204","Nanshe and the Birds "," lit. comp.; ms. Å.W. Sjöberg   ",NULL,NULL
"1205","Nanshe Hymn "," lit. comp.; W. Heimpel, JCS 33 65ff.; rev. ms. Å.W. Sjöberg,   ",NULL,NULL
"1206","NAPR "," Northern Akkad Project Reports (= Mesopotamian History and Environment, Series I; Ghent)   ",NULL,NULL
"1207","NARGD "," J. N. Postgate, Neo-Assyrian Royal Grants and Decrees (Studia Pohl, Series Maior 1, Rome 1969)   ",NULL,NULL
"1208","Nasha Diss. "," Nelson, S.B., Nasha  A Study of Administrative Texts of the Third Dynasty of Ur, Ph. D. Diss. University of Minnesota 1972  ",NULL,NULL
"1209","NAT "," S. Parpola, Neo-Assyrian Toponyms (= AOAT 6, 1970)   ",NULL,NULL
"1210","NATN "," D. l. Owen, Neo-Sumerian Archival Texts primarily from Nippur (Winona Lake 1982)   ",NULL,NULL
"1211","NatPhen "," D.J.W. Meijer (ed.), Natural Phenomena (= Fs. M.N. van Loon, Amsterdam 1992)   ",NULL,NULL
"1212","Nautica (aka A. Salonen, Nautica) "," A. Salonen, Nautica Babyloniaca. Eine lexikalische und kulturgeschichtliche Untersuchung (Helsinki 1942), (= StOr 11.1)   ",NULL,NULL
"1213","NAWG "," Nachrichten der Akademie der Wissenschaften in Göttingen. Phil-hist. Klasse (Göttingen)   ",NULL,NULL
"1214","NB "," Neo-Babylonian   ",NULL,NULL
"1215","NB Stone List "," lex. text, MSL 10, 65ff.   ",NULL,NULL
"1216","NBC "," Nies Babylonian Collection, siglum of the Yale Babylonian Collection, New Haven   ",NULL,NULL
"1217","NBDM "," Neo-Babylonian Documents in the University of Michigan Collection (Ellen Moore)   ",NULL,NULL
"1218","NBGT "," lex. series, Neo-Babylonian Grammatical Texts; MSL 4,   ",NULL,NULL
"1219","Nbk. "," J. N. Strassmaier, Inschriften von Nabuchodonosor, König von Babylon (= BT 5-6, Leipzig 1889)   ",NULL,NULL
"1220","Nbn. "," J. N. Strassmaier, Inschriften von Nabonidus, König von Babylon (= BT 1-4, Leipzig 1889)   ",NULL,NULL
"1221","NBW (aka Steible NBW) "," H. Steible, Die neusumerischen Bau- und Weihinschriften (=FAOS 9)   ",NULL,NULL
"1222","NCBT "," Siglum of the Newell Collection of Babylonian Tablets (now Yale University, New Haven)   ",NULL,NULL
"1223","nd "," no (publication) date   ",NULL,NULL
"1224","ND "," field numbers of tablets excavated at Nimrud   ",NULL,NULL
"1225","NE "," P. Haupt, Das babylonische Nimrodepos (Assyriologische Bibliothek 3, Leipzig 1891)   ",NULL,NULL
"1226","Nebraska "," N. Forde, Nebraska Cuneiform Texts of the Sumerian Ur III Dynasty   ",NULL,NULL
"1227","Nergal "," J. Bollenrucher, Gebete und Hymnen an Nergal   ",NULL,NULL
"1228","Nergal Hymn "," lit. comp.; H. Zimmern, ZA 31, 111ff.; rev. ms. M. Roth   ",NULL,NULL
"1229","Nergal's Ax "," lit. comp., TMH NF 4, 45 and dupls.; H. Behrens, Studies Sachs 27ff.   ",NULL,NULL
"1230","NESt. "," University of California Publications. Near Eastern Studies (Berkeley)   ",NULL,NULL
"1231","NF "," Neue Folge   ",NULL,NULL
"1232","NFT (aka Tello) "," G. Cros et al., Nouvelles fouilles de Tello (Paris 1910)   ",NULL,NULL
"1233","NG (aka Gerichtsurkunden, NGU, NSGU) "," A. Falkenstein, Die neusumerischen Gerichtsurkunden (= ABAW NF 39, 40, 54, 1956-57)   ",NULL,NULL
"1234","NH (aka Noms) "," E.Laroche, Les noms des Hittites (Paris 1966)   ",NULL,NULL
"1235","Ni. "," Museum siglum of the Archaeological Museum, Istanbul (Nippur)   ",NULL,NULL
"1236","Nigga "," lex. series nig2-GA = makkuru, MSL 13, 91ff.   ",NULL,NULL
